Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
43,Mike Bibby,PG,33,NYK,39,557,7.8,0.404,0.685,0.065,1,11.3,6.1,21.2,1.9,0.4,13.6,11.9,,0,0.7,0.7,0.061,,-2.3,-0.2,-2.5,-0.1
44,Andris Biedriņš,C,25,GSW,47,739,8.8,0.581,0,0.141,6.9,20,13.5,3,1.6,4.7,17.1,5.1,,0.6,0.7,1.3,0.085,,-3.1,2.9,-0.2,0.3
45,Chauncey Billups,SG,35,LAC,20,607,16.1,0.554,0.548,0.417,0.8,9.1,4.9,21,0.8,0.4,12.3,23.4,,1.5,0.2,1.7,0.135,,2.9,-3.2,-0.4,0.3
46,Bismack Biyombo,C,19,CHA,63,1455,10.6,0.48,0,0.514,8.6,20.8,14.5,3.1,0.7,5.9,17.2,13.1,,-0.5,1.1,0.6,0.019,,-5.4,1.5,-3.9,-0.7
47,DeJuan Blair,PF,22,SAS,64,1363,17.6,0.549,0.002,0.236,13.2,16.3,14.8,9.2,2.2,0.6,14.2,21.7,,2.2,1.8,4,0.142,,0.8,0.8,1.6,1.2
48,Steve Blake,PG,31,LAL,53,1237,8.5,0.493,0.59,0.101,0.9,6.6,3.8,21,1.7,0.1,20.5,13,,0.2,0.8,1,0.04,,-1.4,-1.4,-2.9,-0.3
49,Andray Blatche,PF,25,WAS,26,626,10.6,0.415,0.029,0.2,7.5,19.6,13.5,7.3,1.7,2.1,12.2,21.7,,-0.8,0.6,-0.1,-0.011,,-4.8,-0.3,-5.1,-0.5
50,Eric Bledsoe,PG,22,LAC,40,464,11.2,0.454,0.238,0.349,5.6,11.1,8.3,21.6,3.6,2.5,24.4,19.1,,-0.4,0.6,0.2,0.022,,-3,2,-0.9,0.1
51,Keith Bogans,SF,31,NJN,5,94,4.8,0.453,0.571,0.238,6,7.6,6.8,5.1,1.1,0,11.5,12.8,,0,0,0,-0.005,,-2.3,-2.7,-5.1,-0.1
52,Andrew Bogut,C,27,MIL,12,364,14.9,0.465,0.007,0.169,6.5,24.3,15.1,13.7,1.7,5,14.1,20.6,,-0.1,0.6,0.5,0.062,,-3.2,3.2,0,0.2
53,Matt Bonner,PF,31,SAS,65,1326,13.2,0.597,0.714,0.06,2.6,15.7,9.3,6.5,0.6,1.1,3.8,12.8,,2.7,1.2,4,0.143,,2.3,-0.3,2,1.3
54,Trevor Booker,PF,24,WAS,50,1261,15.4,0.549,0.006,0.273,10.6,18.6,14.5,5.1,2,2.6,13.2,15.6,,1.6,1.4,3,0.113,,-0.7,1,0.3,0.7
55,Carlos Boozer,PF,30,CHI,66,1948,19.7,0.549,0.001,0.163,6.7,25.3,16.1,11.8,1.7,0.9,11.3,23.8,,3.3,4.3,7.6,0.187,,0.3,1.7,2,2
56,Chris Bosh,PF,27,MIA,57,2007,18.9,0.551,0.043,0.346,5.8,20.5,13.5,9.1,1.3,1.8,11.2,24.2,,3.6,3.3,6.9,0.165,,-0.3,0.3,0,1
57,Earl Boykins,PG,35,HOU,8,111,10.3,0.458,0.25,0.417,0,11.6,5.7,23,0.5,0,14.1,20.3,,0,0,0.1,0.029,,-3.2,-3.1,-6.3,-0.1
58,Craig Brackins,PF,24,PHI,14,88,4.3,0.325,0.273,0.061,6.3,12.7,9.5,13.5,0,0.9,10.6,20.2,,-0.2,0.1,-0.1,-0.065,,-6.3,-1.9,-8.1,-0.1
59,Avery Bradley,PG,21,BOS,64,1368,11.3,0.555,0.134,0.194,3.1,6.7,5,10.8,1.7,0.7,14.7,17.9,,0.6,1.9,2.4,0.085,,-1.6,0.3,-1.3,0.2
60,Elton Brand,C,32,PHI,60,1732,18,0.521,0.002,0.2,9.2,18.3,13.7,9.2,1.8,4.2,9.3,18.9,,2.5,3.6,6.1,0.168,,-0.5,3.4,2.9,2.2
61,Corey Brewer,SF,25,DEN,59,1287,13.7,0.505,0.274,0.281,4,9.4,6.8,10.6,2.9,1,9.7,20,,1.1,1.1,2.3,0.085,,0.3,0,0.3,0.8
62,Ronnie Brewer,SG,26,CHI,66,1635,12.3,0.465,0.155,0.225,5,10.6,7.9,12.7,2.4,0.9,10.8,15.3,,1,2.9,3.9,0.113,,-1,2.3,1.2,1.3
63,Jon Brockman,PF,24,MIL,35,239,6.6,0.359,0.022,0.333,14.8,19.9,17.3,5.2,0.9,0.3,16.2,11.4,,-0.1,0.2,0.1,0.023,,-4.5,-0.8,-5.3,-0.2
64,MarShon Brooks,SG,23,NJN,56,1648,12.9,0.502,0.234,0.231,4.8,9.4,7,14.6,1.7,0.7,14.3,22.9,,0.5,0.3,0.8,0.022,,-0.7,-1.8,-2.5,-0.2
65,Derrick Brown,SF,24,CHA,65,1443,14.7,0.556,0.059,0.345,7.3,11.6,9.4,8.5,1.8,0.6,10.5,16.8,,2,0.3,2.3,0.076,,-0.3,-1.2,-1.5,0.2
66,Kwame Brown,C,29,GSW,9,187,11.1,0.519,0,0.85,9.7,24.8,17.3,3.2,2.2,0,20.3,17,,-0.1,0.2,0.1,0.031,,-4.7,-1.5,-6.2,-0.2
67,Shannon Brown,SG,26,PHO,59,1400,13.6,0.507,0.314,0.166,3.1,9.5,6.3,8.1,1.6,0.8,9.1,22.8,,0.8,0.8,1.6,0.054,,0,-1.3,-1.3,0.2
68,Kobe Bryant,SG,33,LAL,58,2232,21.9,0.527,0.215,0.338,3.5,11.8,7.8,23.7,1.6,0.6,11.7,35.7,,4.2,2,6.2,0.132,,3.6,-1.4,2.3,2.4
69,Chase Budinger,SF,23,HOU,58,1298,14.9,0.556,0.465,0.149,3.4,16.2,9.7,9.3,1.2,0.4,9.9,19.5,,2,1,3,0.111,,1.2,-1.3,0,0.6
70,Alec Burks,SG,20,UTA,59,939,14,0.506,0.126,0.401,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,,1.1,0.4,1.5,0.076,,-0.2,-2.2,-2.5,-0.1
71,Caron Butler,SF,31,LAC,63,1871,11.7,0.501,0.365,0.152,2.8,12,7.3,6.8,1.5,0.4,9.3,20.4,,1.2,1.1,2.3,0.059,,-0.7,-1.5,-2.2,-0.1
72,Jimmy Butler,SG,22,CHI,42,359,12.5,0.526,0.139,0.709,7.3,10.1,8.7,5.7,1.6,1,11.9,14.9,,0.5,0.6,1.1,0.144,,-1.7,0.4,-1.3,0.1
73,Rasual Butler,SF,32,TOR,34,453,4.8,0.398,0.579,0.09,1.6,15.4,8.5,6.8,0.8,0.9,9.8,15.9,,-0.6,0.4,-0.2,-0.022,,-4.2,-1.3,-5.5,-0.4
74,Derrick Byars,PF,27,SAS,2,37,14.9,0.392,0.545,0.364,19,15.2,17.1,3.7,2.8,0,0,15.7,,0.1,0.1,0.1,0.147,,1.6,-1.1,0.6,0
75,Andrew Bynum,C,24,LAL,60,2112,22.9,0.594,0.006,0.425,10.6,26.1,18.7,7.4,0.7,4,13.9,23.8,,4.8,3.3,8,0.183,,0.7,1.2,1.8,2
76,Will Bynum,PG,29,DET,36,514,10,0.459,0.149,0.33,2.3,11.1,6.5,22.4,2.4,0.5,19.6,24.8,,-0.7,0.4,-0.2,-0.022,,-3.6,-1.6,-5.2,-0.4
77,José Calderón,PG,30,TOR,53,1799,16.7,0.547,0.333,0.143,1.3,9.1,5.2,44.2,1.4,0.1,17,16,,3.9,1.2,5.1,0.136,,2.2,-2.6,-0.4,0.7
78,Marcus Camby,C,37,TOT,59,1352,16.2,0.455,0.017,0.223,13.3,32.7,22.8,11.9,1.9,4.8,15.3,12.6,,1.1,2.5,3.6,0.127,,-1.9,4.9,3,1.7
78,Marcus Camby,C,37,POR,40,894,14.5,0.428,0,0.236,13.4,33.2,23.1,12.4,1.9,4.8,20.9,11.5,,0.3,1.6,1.9,0.1,,-2.8,5.2,2.4,1
78,Marcus Camby,C,37,HOU,19,458,19.6,0.491,0.04,0.206,13,31.7,22.3,10.9,1.9,4.7,6.8,14.6,,0.8,0.9,1.7,0.179,,-0.2,4.3,4.1,0.7
79,Brian Cardinal,SF,34,DAL,44,277,3.3,0.373,0.891,0.109,1.6,12.1,6.9,8.3,1.5,0.6,12.2,11,,-0.3,0.3,0,0.004,,-3.8,0.1,-3.7,-0.1
80,DeMarre Carroll,SF-PF,25,TOT,24,348,11.1,0.478,0.181,0.152,9.1,8.3,8.8,8.1,1.8,0.2,8.9,15.9,,0.3,0.2,0.5,0.069,,0,-1.3,-1.3,0.1
80,DeMarre Carroll,PF,25,DEN,4,21,25.2,1,0,0,0,16.2,8.3,27.7,0,0,25,17,,0.1,0,0.1,0.211,,4.8,-3.4,1.4,0
80,DeMarre Carroll,SF,25,UTA,20,327,10.1,0.448,0.192,0.162,9.7,7.8,8.8,6.9,1.9,0.2,7.8,15.8,,0.2,0.2,0.4,0.06,,-0.3,-1.1,-1.5,0
81,Matt Carroll,SG,31,CHA,53,596,5.6,0.409,0.274,0.242,1.5,10,5.6,10.6,1.4,0.9,12.1,15.3,,-0.7,0.1,-0.6,-0.051,,-5.3,-2.1,-7.3,-0.8
82,Anthony Carter,PG,36,TOR,24,209,8.7,0.409,0.321,0.189,2.8,15.5,9.3,25.9,2.1,1.6,22.8,16.8,,-0.3,0.3,0,0.001,,-4.2,0.9,-3.3,-0.1
83,Vince Carter,SG,35,DAL,61,1542,13.6,0.519,0.378,0.212,2.3,12.5,7.5,15,1.9,1.3,12.4,20.4,,1,1.8,2.9,0.09,,0,0.6,0.6,1
84,Omri Casspi,SF,23,CLE,65,1341,11.2,0.499,0.408,0.262,5.1,14.5,9.7,8.4,1.5,1.2,12.2,17.6,,0.6,0.6,1.2,0.044,,-1.2,-1.1,-2.4,-0.1
85,Mario Chalmers,PG,25,MIA,64,1825,13,0.578,0.522,0.203,1.1,9.8,5.6,19,2.8,0.5,20.7,17.4,,1.5,2.8,4.3,0.112,,1,0.4,1.4,1.5
